1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Algae,Aquatic,Brackish,Rare,Small Patch (1-12),Tiny (<5cm),Creeper Vine,None,None,Scaly,Brown,N/A,Smooth,Blue,N/A,Scaly,Silver & Brown,Stripes,None & None,Branch Points,Acuminate (Taper to Long Point),Serate,Sticky & Smooth,None,Clusters (6+),Smooth,Brown,N/A,Budding / Fragmentation,Spore,Animal,Spray,Sphere,Small (5-10mm),Wavy,Waxy,Regular Interval,Sweet,Perennial (Yearly),Waxy,Blue,Blushed,4-9,1,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Very Common,Small Patch (1-12),Huge (>10m),Stem / Trunk,Ordered,Tap,Scaly,White,N/A,Flaky,Yellow,N/A,Rough,Yellow,N/A,Broad,Branch Points,Cuneate (Wedge Accute Base) & Cuneate (Wedge Accute Base),Serrulate & Lobate,Waxy,Reticulate (Smaller Veins Forming a Network),Whorls (3-5) & Singles (1),Smooth,Green,N/A,Seeds,Fruit,Water,Compound,Sphere,Small (5-10mm),Wavy,Smooth,Branch Points,Sweet,Other,Smooth,Green,Solid,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Nutritious / Tasty & Non-Edible,N/A,N/A,Medicinal / Other,Rubbed,Refridgerant,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Sub-Terrestrial,Mountains,Very Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Radial,Tap,Waxy,Black,N/A,Waxy,Black,N/A,Smooth,Green,N/A,Broad,Random Interval,Rhomboid (Diamond),Dentate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Animal,Bunches,Bell,Avg. (1-5cm),Blade,Smooth,Stem / Trunk,Sweet,Annual (Once),Waxy,Green,Night Blooming,10+,5+,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Mysical / Other,Edible,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Flaky,Gold,N/A,Waxy,Orange,N/A,Other,Green,N/A,Blades,Branch Points,Palmate (Hand-Like),Serate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Waxy,Green,N/A,Seeds,Grain,Water,Bunches,Complex,Avg. (1-5cm),Oval,Smooth,Random Interval,Foul,Annual (Once),Waxy,Yellow,Blushed,0,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Ground,N/A,
Herbaceous,Sub-Terrestrial,Mountains,Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Random,Rhizoid,Smooth,Black,N/A,Smooth,Black,N/A,Waxy,Grey,N/A,Needles,Regular Interval,Cuneate (Wedge Accute Base),Smooth,Error: Roll Out of Range,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Waxy,Green,N/A,Suckers,Grain,Gravity,Compound,Complex,Small (5-10mm),Toothed & Wavy,Sticky,Terminal,Musky,Annual (Once),Smooth,Brown,Stripes,10+,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Wash,Laxative,Medicinal / Other,Bath,Antipyretic,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Raw,N/A,
Fungus,Terrestrial,Forest / Jungle,Rare,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,None,Smooth,Brown,N/A,Smooth,Black,N/A,Smooth,Brown,N/A,Needles,Terminal,Obcordate (Heart Stem at Point),Dentate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Wind,Other,Cone,Large (5-10cm),Wavy,Hairy,Terminal,Sweet,Annual (Once),Smooth,Brown,Blushed,4-9,1,Decay,Light,Non-Sentient,N/A,Edible,Dried,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Herbaceous,Sub-Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,None,Tap,Smooth,Green,N/A,Smooth,Black,N/A,Smooth,Yellow,N/A,Needles,Terminal,Poly-Foliate (2-7 Leaflets),Sinuate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Brown,N/A,Budding / Fragmentation,Spore,Water,Pairs,Bell,Huge (>10cm),Thread,Hairy,Branch Points,Sweet,Perennial (Yearly),Smooth,Green & Green,Blushed,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Diaphoretic,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Whole,Depurative,Medicinal / Other,Powder,Specific,
Woody,Sub-Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Fibrous,Rough,Blue,N/A,Rough,Black,N/A,Flaky,Yellow,N/A,Needles,Random Interval,Ovate (Egg Wide at Base),Serate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Orange,N/A,Seeds,Nut,Animal,Single,Bell,Small (5-10mm),Curly,Veined,Regular Interval,None,Perennial (Yearly),Rough,Green,Mottled,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Grated,Astringent,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Random,Rhizoid,Smooth & Rough,Silver,N/A,Smooth,Black,N/A,Smooth,Grey,N/A,Compound,Random Interval,Palmate (Hand-Like),Undulate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Waxy,Gold,N/A,Budding / Fragmentation,Grain,Gravity,Pairs,Bell,Large (5-10cm),Curly,Scaly,Terminal,Musky,Perennial (Yearly),Smooth,Green,Iridescent,4-9,2-4,Photo / Chemo-Synthetic,Light,Sentient,Instinctual,Medicinal / Other,Cold Extract,Appetizer,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Ground,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Random,Fibrous,Waxy,Green,N/A,Smooth,Green,N/A,Flaky,Yellow,N/A,Compound,Regular Interval,Deltoid (Triangular),Lobate,Sticky,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Scaly,Green,N/A,Suckers,Fruit,Wind,Compound,Cone,Avg. (1-5cm),Feathery,Velvety,Branch Points,Musky,Perennial (Yearly),Scaly,Green,Mottled,0,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Blanched,N/A,Medicinal / Other,Powder,Emollient,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Tincture,Nephretic,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Rhizoid,Flaky,Green,N/A,Rough,Yellow,N/A,Smooth,Silver,N/A,Broad,Branch Points,Spatulate (Spoon),Smooth,Sticky,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Violet,N/A,Seeds,Fruit,Animal,Single,Bell,Avg. (1-5cm),Blade & Wavy,Dusty,Terminal & Regular Interval,Sweet,Annual (Once),Rough,Red,Luminescent,1-3,2-4,Photo / Chemo-Synthetic,Gravity & None,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Refridgerant,Medicinal / Other,Ointment,Diaphoretic,
Woody,Sub-Terrestrial,Forest / Jungle,Uncommon,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Random,Tap,Smooth,Yellow,N/A,Flaky,Brown,N/A,Waxy,Violet,N/A,None,Regular Interval,Lanceolate (Pointed at Both Ends),Lobate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Waxy,Yellow,N/A,Budding / Fragmentation,Fruit,Animal,Single,Sphere,Avg. (1-5cm),Curly,Velvety & Veined,Terminal,None,Poly-Annual (2-7 Years),Smooth,Green,Night Closing,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Refridgerant,Edible,Dried,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Small (5-25cm),Stem / Trunk,Radial,Tap,Smooth,Brown,N/A,Smooth,Yellow,N/A,Smooth,Violet,N/A,Compound,Regular Interval,Reniform (Kidney),Dentate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,Yellow,N/A,Seeds,Grain,Animal,Spray,Bell,Tiny (<5mm),Blade & Toothed,Veined,Regular Interval,Sweet,Poly-Annual (2-7 Years),Waxy,Green,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Grated,Expectorant,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Bath,Hepatic,Medicinal / Other,Cold Extract,Acrid,
Woody,Terrestrial,Plains / Savannah,Very Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Rough,Brown,N/A,Smooth,Green,N/A,Smooth,Copper,N/A,Broad,Regular Interval,Acuminate (Taper to Long Point),Lobate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Flaky,Orange,N/A,Other,Fruit,Animal,Single,Bell,Avg. (1-5cm),Blade,Smooth,Random Interval,Other / Specific,Poly-Annual (2-7 Years),Scaly,Green,Solid,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Anodyne,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Forest / Jungle,Very Common,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Smooth,Yellow,N/A,Other,Red,N/A,Other,Brown,N/A,Scales,Terminal,Digitate (Finger-Like Lobes),Sinuate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Flaky,Violet,N/A,Seeds,Spore,Animal,Bunches,Spike,Small (5-10mm),Toothed,Scaly,Regular Interval,Sweet,Annual (Once),Rough,Black,Solid,0,1,Decay,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Cold Compress,Vasodialator,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Brackish,Very Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,None,Fibrous,Waxy & Smooth,Green,N/A,Smooth,Green,N/A,Smooth,White,N/A,Compound,Random Interval,Ovate (Egg Wide at Base),Lobate,Error: Roll Out of Range,None,Clusters (6+),Other,Green,N/A,Budding / Fragmentation,Grain,Gravity,Bunches,Disc,Avg. (1-5cm),Blade,Sticky,Terminal,Sweet,Poly-Annual (2-7 Years),Rough,Violet,Blushed,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Juice,Antiscorbutic,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Ointment,Re-Roll,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Tap,Waxy,Green,N/A,Smooth,Brown,N/A,Other,Green,N/A,Broad,Terminal,Acicular (Needle),Undulate,Sticky & Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Other,Grey,N/A,Budding / Fragmentation,Fruit,Animal,Other,Cone,Small (5-10mm),Toothed & Blade,Dusty,Branch Points,Musky,Poly-Annual (2-7 Years),Smooth,Green,Solid,0,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Blanched,N/A,Medicinal / Other,Juice,Nauseant,N/A,N/A,N/A,Medicinal / Other,Bath,Stimulant,Edible,Ground,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,None,Fibrous,Smooth,Gold,N/A,Rough,Silver,N/A,Smooth,Gold,N/A,Blades,Terminal,Spatulate (Spoon),Smooth,Error: Roll Out of Range,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green,N/A,Seeds,Other,Wind,Pairs,Sphere,Large (5-10cm),Wavy,Smooth,Stem / Trunk,Sweet,Poly-Annual (2-7 Years),Smooth,Grey,Solid,10+,2-4,Other,Touch,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Syrup,Bitter Tonic,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Ground,N/A,
Herbaceous,Terrestrial,Desert / Waste,Common,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Waxy,White,N/A,Smooth,White,N/A,Smooth,Orange,N/A,Compound,Terminal,Subulate (Awl),Smooth,Smooth,None,Clusters (6+),Waxy,White,N/A,Suckers,Spore,Wind,Single,Funnel,Avg. (1-5cm),Round,Velvety,Terminal,Musky,Annual (Once),Smooth,Orange,Blushed,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Nephretic,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Smooth,Green,N/A,Smooth,Violet,N/A,Other,Violet,N/A,Compound,Regular Interval,Pedate (Palmate Divided Latteral Lobes),Sinuate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Rough,Black,N/A,Seeds,Fruit,Animal,Pairs,Funnel,Tiny (<5mm),Curly,Dusty,Regular Interval,Sweet,Perennial (Yearly),Smooth,Grey & Brown,Solid & Night Closing,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Blanched,N/A,Medicinal / Other,Powder,Vesicant,Edible,Dried,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Huge (>10m),Multiple Stems / Trunks,Random,Fibrous,Smooth,Brown,N/A,Smooth,Orange,N/A,Rough,Green,N/A,Compound,Terminal,Lobed (Deeply Indented Margins),Crenate,Error: Roll Out of Range,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,White,N/A,Seeds,Grain,Gravity,Spray,Bell,Small (5-10mm),Oval & Oval,Waxy,Terminal,Musky,Annual (Once),Smooth,Black,Iridescent,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Analgesic,Medicinal / Other,Ointment,Aphrodesiac,Edible,Blanched,N/A,
