1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5d: Color For ,5e: Color Pattern For,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Desert / Waste,Very Rare,Large Patch (120+),Huge (>10m),Creeper Vine,Random,Tap,Flaky,Yellow,N/A,Rough,Yellow & Red,Translucent,Smooth,Green,N/A,Broad,Regular Interval,Rhomboid (Diamond),Dentate & Dentate,Waxy,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Rough,Brown,N/A,Seeds,Nut,Animal,Bunches,Spike,Small (5-10mm),Curly,Velvety,Branch Points,Foul,Poly-Annual (2-7 Years),Flaky,Violet,Solid,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Medicinal / Other,Bath,Cholagouge,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Huge (>10m),Creeper Vine,Random,Tap,Smooth,Black,N/A,Waxy,Grey,N/A,Smooth,Yellow,N/A,None,Regular Interval,Ovate (Egg Wide at Base),Undulate,Scaly,None,Clusters (6+),Waxy,Green,N/A,Seeds,Grain,Animal,Bunches,Spike,Small (5-10mm),Curly,Hairy,Branch Points,Sweet,Poly-Annual (2-7 Years),Smooth,Yellow,Mottled,10+,5+,Photo / Chemo-Synthetic,Touch,Sentient,Instinctual,N/A,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Nutritious / Tasty,Blanched,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Decoction,Adjuvant,
Herbaceous,Sub-Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Random,Fibrous,Smooth,Brown,N/A,Smooth,Green,N/A,Waxy,Green,N/A,Blades,Regular Interval,Spatulate (Spoon),Sinuate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2),Smooth,Black,N/A,Budding / Fragmentation,Spore,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity,Non-Sentient,N/A,Edible & Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Edible,Roasted,N/A,
Woody,Sub-Terrestrial,Mountains,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Ordered,Fibrous,Rough,Copper,N/A,Scaly,Green,N/A,Smooth,Grey,N/A,Compound,Terminal,Acuminate (Taper to Long Point),Serate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Rough,Brown,N/A,Seeds,Nut,Gravity,Other,Bell,Avg. (1-5cm),Blade,Veined,Terminal,Musky,Poly-Annual (2-7 Years),Smooth,Silver,Spotted,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Re-Roll,Depurative,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Ordered,Tubers,Smooth,Yellow,N/A,Smooth,Green,N/A,Smooth,Grey,N/A,Compound,Terminal,Spatulate (Spoon),Smooth,Smooth,Reticulate (Smaller Veins Forming a Network),Pairs (2),Smooth,Green,N/A,Seeds,Fruit,Water,Bunches,Spike,Large (5-10cm),Blade,Waxy,Random Interval,Foul,Annual (Once),Waxy,Grey,Spotted,4-9,0,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Edible,Steeped,N/A,Edible,Blanched,N/A,Medicinal / Other,Powder,Vasodialator,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Wash,Diaphoretic,
Herbaceous,Aquatic,Salt Water,Very Common,Large Patch (120+),Average (25cm-1m),Creeper Vine,Radial,Tap,Waxy,Silver,N/A,Smooth,Green,N/A,Smooth,Orange,N/A,Compound,Random Interval,Ovate (Egg Wide at Base),Dentate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Smooth,Black,N/A,Seeds,Fruit,Animal,Pairs,Sphere,Avg. (1-5cm),Wavy,Waxy,Regular Interval,None,Other,Waxy,Black,Blushed,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Raw,N/A,Medicinal / Other,Decoction,Astringent,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Vapor / Smoke,Oxytocic,
Fungus,Terrestrial,Plains / Savannah,Very Common,Small Patch (1-12),Average (25cm-1m),Colonial Mass,None,None,Flaky,Green,N/A,Smooth,Black & Copper,Stripes,Smooth,Yellow,N/A,Compound,Terminal,Acuminate (Taper to Long Point),Lobate,Scaly,Reticulate (Smaller Veins Forming a Network),Singles (1),Rough,Violet,N/A,Suckers,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Sub-Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Huge (>10m),Colonial Mass,Radial,Tap,Smooth,Black,N/A,Scaly,Green,N/A,Smooth,Green,N/A,Needles,Branch Points,Pedate (Palmate Divided Latteral Lobes),Sinuate,Error: Roll Out of Range,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Flaky,Yellow,N/A,Seeds,Spore,Wind,Spray,Bell,Avg. (1-5cm),Wavy,Smooth,Branch Points,Sweet,Perennial (Yearly),Waxy,Violet,Patches,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Re-Roll,Non-Edible,N/A,N/A,Medicinal / Other,Fomentation,Diuretic,
Woody,Terrestrial,Mountains,Very Rare,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Ordered,Tap,Rough,Green,N/A,Rough,Grey,N/A,Rough,Brown,N/A,Compound,Random Interval & Random Interval,Lanceolate (Pointed at Both Ends),Dentate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Scaly,Green,N/A,Seeds,Fruit,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Sentient,Instinctual,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Medicinal / Other,Fomentation,Nauseant,Medicinal / Other,Ointment,Vesicant,Edible,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Rhizoid,Other,Gold,N/A,Rough,Grey,N/A,Smooth,Gold,N/A,Compound,Terminal,Obovate (Egg Narrow at Base),Dentate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Red,N/A,Seeds,Grain,Water,Bunches,Cone,Small (5-10mm),Blade,Waxy,Random Interval,Sweet,Annual (Once),Scaly,Green,Iridescent,0,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Smooth,Brown,N/A,Rough,Brown,N/A,Smooth,Green,N/A,Compound,Branch Points,Deltoid (Triangular),Lobate,Error: Roll Out of Range,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Smooth,White,N/A,Seeds,Grain,Gravity,Spray,Bell,Avg. (1-5cm),Wavy,Waxy,Regular Interval,Sweet,Annual (Once),Waxy,Silver,Mimicry,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Syrup,Carminative,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Poultice,Vermifuge,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Tap,Scaly,Violet,N/A,Smooth,Gold & Green,Stripes,Smooth,Violet,N/A,Blades,Regular Interval,Rhomboid (Diamond),Serrulate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Brown,N/A,Seeds,Fruit,Water,Compound,Spike,Tiny (<5mm),Wavy,Dusty,Terminal,Musky,Perennial (Yearly),Smooth,Green,Patches,4-9,0,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Medicinal / Other,Ground,Antiperodic,Medicinal / Other,Decoction,Re-Roll,Edible,Roasted,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Decoction,Bitter Tonic,
Herbaceous,Terrestrial,Desert / Waste,Very Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Fibrous,Waxy,Green,N/A,Waxy,Silver,N/A,Waxy,Brown,N/A,Scales,Regular Interval,Cordate (Heart Stem in Cleft),Serate & Crenate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins) & Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Grey,N/A,Suckers,Grain,Water,Spray,Bell,Tiny (<5mm),Oval,Velvety,Stem / Trunk,Sweet,Annual (Once),Smooth,Yellow,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Other,Coagulant,Medicinal / Other,Ointment,Appetizer,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Medicinal / Other,Infusion,Irritant,
Woody,Terrestrial,Forest / Jungle & Hills / Scrub,Very Rare,Solitary (1-2),Small (5-25cm),Stem / Trunk,Radial,Rhizoid,Rough,Brown,N/A,Smooth,Blue,N/A,Rough,Black,N/A,Needles,Random Interval,Acicular (Needle),Lobate,Smooth,None,Clusters (6+),Rough,Yellow,N/A,Seeds,Nut,Water,Compound,Disc,Avg. (1-5cm),Oval,Scaly,Random Interval,Foul,Poly-Annual (2-7 Years),Smooth,Green,Phases,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Plains / Savannah & Tundra,Common,Small Patch (1-12),Huge (>10m),Multiple Stems / Trunks,Radial,Tubers,Flaky,Copper,N/A,Smooth,Red,N/A,Smooth,Green,N/A,Broad,Random Interval,Poly-Foliate (2-7 Leaflets),Dentate,Hairy,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Green,N/A,Seeds,Grain,Gravity,Spray,Bell,Avg. (1-5cm),Toothed,Veined,Regular Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Silver,Mimicry,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Poultice,Re-Roll,Medicinal / Other,Tincture,Carminative,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Marsh / Swamp / Bog,Very Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Rhizoid,Scaly,Orange & Silver,Phases,Smooth,Brown,N/A,Smooth,Yellow,N/A,Compound,Terminal,Ovate (Egg Wide at Base),Serate,Sticky,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Animal,Pairs,Cone,Small (5-10mm),Curly,Dusty,Stem / Trunk,Sweet,Perennial (Yearly),Smooth,Blue,Solid & Translucent,4-9,2-4,Decay,Heat,Non-Sentient,N/A,Nutritious / Tasty,Boiled,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Fibrous,Smooth,Gold,N/A,Flaky,Green,N/A,Smooth,Yellow,N/A,Broad,Random Interval,Lanceolate (Pointed at Both Ends),Denticulate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Rough,Green & Green,Solid,Seeds,Fruit,Animal,Single,Bell,Large (5-10cm),Round,Dusty,Random Interval,Sweet,Poly-Annual (2-7 Years),Flaky,Green,Iridescent,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Vulnerary,Edible,Steeped,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Essence,Narcotic,Edible,Dried,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Advantageous,Smooth,Yellow,N/A,Smooth,Green,N/A,Rough,Green,N/A,Needles,Terminal,Rhomboid (Diamond),Smooth,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Brown,N/A,Seeds,Grain,Wind,Compound,Disc,Avg. (1-5cm),Blade,Hairy,Branch Points,Sweet,Perennial (Yearly),Smooth,Blue,Blushed,4-9,1,Decay,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Boiled,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Small (5-25cm),Colonial Mass,Radial,Tap,Smooth,Green,N/A,Rough,Violet,N/A,Rough,Grey,N/A,Broad,Stem / Trunk,Obovate (Egg Narrow at Base),Spiny,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Green,N/A,Seeds,Other,Animal,Compound,Disc,Avg. (1-5cm),Curly,Hairy,Random Interval,Sweet,Poly-Annual (2-7 Years),Rough,Green,Stripes,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Cold Compress,Adjuvant,
Woody,Terrestrial,Marsh / Swamp / Bog,Rare,Large Patch (120+),Large (1-10m),Stem / Trunk,Radial,Fibrous,Scaly,Violet,N/A,Rough,Green,N/A,Smooth,Violet,N/A,Broad,Terminal,Poly-Foliate (2-7 Leaflets),Undulate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Waxy,White,N/A,Seeds,Fruit,Animal,Single,Funnel,Large (5-10cm),Round,Dusty,Terminal,None,Annual (Once),Rough,Gold,Patches,10+,2-4,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,Nutritious / Tasty,Dried,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Fibrous,Other,Yellow,N/A,Smooth,Green,N/A,Waxy,Orange,N/A,Broad,Stem / Trunk,Acuminate (Taper to Long Point),Dentate & Smooth,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Red,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Appetizer,Non-Edible,N/A,N/A,
