1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Smooth,Violet,N/A,Smooth,Brown,N/A,Smooth,Gold,N/A,Compound,Random Interval,Flabellate (Fan Shaped),Crenate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Other,Brown,N/A,Budding / Fragmentation,Spore,Wind,Spray,Bell,Large (5-10cm),Feathery,Waxy,Random Interval,None,Annual (Once),Smooth,Silver,Patches,10+,1,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Infusion,Aperient,Medicinal / Other,Ointment,Emollient,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Crushed,Detergent,Medicinal / Other,Poultice,Antiscorbutic,
Woody,Aquatic,Fresh Water,Very Common,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Tap,Smooth,Yellow,N/A,Scaly,Copper,N/A,Waxy,Green,N/A,Broad,Branch Points,Hastatae (Triangular Basal Lobes),Lobate & Smooth,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Scaly,Silver,N/A,Seeds,Nut,Gravity,Single,Sphere,Avg. (1-5cm),Curly,Waxy,Terminal,Sweet,Poly-Annual (2-7 Years),Rough,White,Blushed,1-3,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Steeped,N/A,
Woody,Aquatic,Fresh Water,Common,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Tap,Flaky,Green,N/A,Smooth,Yellow,N/A,Flaky,Green,N/A,Broad,Terminal,Obcordate (Heart Stem at Point),Sinuate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Flaky,Green & Green,Spotted,Seeds,Nut,Gravity,Pairs,Funnel,Small (5-10mm),Feathery,Veined,Random Interval,Sweet,Annual (Once),Scaly,Brown,Spotted,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Cold Extract,Poison,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,None,Fibrous,Scaly,Silver,N/A,Other,Green,N/A,Smooth,Black,N/A,Broad,Terminal,Lobed (Deeply Indented Margins),Serrulate,Sticky,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Smooth,Silver & Gold,Phases,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Decoction,Hydragogue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Roasted,N/A,
Fungus,Terrestrial,Marsh / Swamp / Bog,Rare,Medium Patch (12-120),Small (5-25cm),Colonial Mass,None,Bulb,Other,Green,N/A,Smooth,Copper,N/A,Flaky,Copper,N/A,Blades,Terminal,Digitate (Finger-Like Lobes),Denticulate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Green,N/A,Seeds,Spore,Other,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,None,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Nutritious / Tasty,Ground,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Creeper Vine,None,Tap,Smooth,Copper,N/A,Rough,Copper & Red,Spotted,Smooth,Green,N/A,Compound,Branch Points,Truncate (Squared off Apex),Serate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Rough,Yellow,N/A,Seeds,Fruit,Animal,Compound,Disc,Small (5-10mm),Curly & Thread,Smooth,Branch Points,None,Perennial (Yearly),Rough,Gold,Stripes,10+,2-4,Other,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Mysical / Other,Edible,Roasted,N/A,Medicinal / Other,Crushed,Antitussive,Non-Edible,N/A,N/A,Medicinal / Other,Vapor / Smoke,Hydragogue,Nutritious / Tasty,Ground,N/A,
Herbaceous,Avian,Forest / Jungle,Rare,Solitary (1-2),Huge (>10m),Creeper Vine,Random,Fibrous,Smooth,Red,N/A,Smooth,Yellow,N/A,Smooth,Green & Brown,Iridescent,Compound,Random Interval,Pedate (Palmate Divided Latteral Lobes),Undulate,Waxy & VelvetyDusty,None,Clusters (6+),Smooth,Yellow,N/A,Seeds,Grain,Gravity,Bunches,Funnel,Avg. (1-5cm),Blade,Velvety,Regular Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Solid,4-9,5+,Parasitic,Heat,Non-Sentient,N/A,Medicinal / Other,Other,Haemostatic,Edible,Boiled,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Edible,Raw,N/A,Medicinal / Other,Vapor / Smoke,Antiseptic,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Smooth,Grey,N/A,Waxy,Copper,N/A,Smooth,Silver,N/A,Broad,Branch Points,Spear-Shaped (Pointed Barbbed-Base),Serate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Other,Green & Green,Solid,Seeds,Fruit,Water,Single,Cone,Small (5-10mm),Curly,Hairy,Regular Interval,Sweet,Perennial (Yearly),Flaky,Copper,Solid,0,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Ground,N/A,Nutritious / Tasty,Steeped,N/A,Medicinal / Other,Essence,Haemostatic,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Crushed,Narcotic,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Tubers,Smooth,Black,N/A,Scaly,Brown,N/A,Flaky,Green,N/A,Compound,Terminal,Acuminate (Taper to Long Point),Sinuate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2),Waxy,Red,N/A,Seeds,Spore,Animal,Spray,Funnel,Tiny (<5mm),Oval,Velvety,Terminal,Sweet,Perennial (Yearly),Smooth & Smooth,Brown,Stripes,4-9,1,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Cold Compress,Emmenagogue,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Decoction,Bitter Tonic,Edible,Roasted,N/A,
Herbaceous,Aquatic,Salt Water,Uncommon,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,Ordered,Bulb,Smooth,Brown,N/A,Scaly,Yellow,N/A,Waxy,Yellow,N/A,Broad,Terminal,Obovate (Egg Narrow at Base),Lobate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Smooth,Yellow,N/A,Seeds,Nut,Gravity,Compound,Bell,Large (5-10cm),Oval,Velvety,Terminal,Sweet,Annual (Once),Waxy,Silver,Stripes,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Cold Extract,Oxytocic,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Cold Compress,Antinauseant,Medicinal / Other,Rubbed,Pectoral,
Woody,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Large (1-10m),Creeper Vine,Radial,Bulb,Rough,Violet,N/A,Scaly,Yellow,N/A,Flaky,Green & Copper,Spotted,Broad,Terminal,Poly-Foliate (2-7 Leaflets),Sinuate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Green,N/A,Seeds,Fruit,Other,Compound,Cone,Small (5-10mm),Wavy,Dusty & Scaly,Terminal,Sweet,Perennial (Yearly),Flaky,Copper,Blushed,4-9,1,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Decoction,Narcotic,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Fomentation,Restorative,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Very Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Smooth,Green,N/A,Scaly,Grey,N/A,Waxy,Green,N/A,Broad,Branch Points,Obovate (Egg Narrow at Base),Sinuate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Smooth,Silver,N/A,Suckers,Fruit,Animal,Bunches,Cone,Small (5-10mm),Blade,Dusty,Branch Points,Sweet,Poly-Annual (2-7 Years),Smooth,Silver,Solid,0,2-4,Other,Gravity,Non-Sentient,N/A,Medicinal / Other,Ointment,Anodyne,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Tundra & Plains / Savannah,Very Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Rhizoid,Scaly,Violet,N/A,Waxy,Green,N/A,Smooth,White,N/A,Broad,Regular Interval,Obovate (Egg Narrow at Base),Spiny,Scaly,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,White,N/A,Suckers,Fruit,Animal,Single,Cone,Large (5-10cm),Blade,Sticky,Branch Points,Sweet,Other,Waxy,Yellow,Solid,10+,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Juice,Diuretic,Medicinal / Other,Ground,Dye,Medicinal / Other,Tincture,Fungicide,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Roasted,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Large Patch (120+),Large (1-10m),Creeper Vine,None,Fibrous,Waxy,Grey,N/A,Smooth,Orange,N/A,Smooth,Green,N/A,Broad,Terminal,Falcate (Sickle),Lobate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5) & Clusters (6+),Rough,Green,N/A,Seeds,Grain,Animal,Compound,Sphere,Large (5-10cm),Oval,Velvety,Random Interval,Sweet,Poly-Annual (2-7 Years),Waxy,Red,Mottled,10+,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Bath,Counterirritant,N/A,N/A,N/A,Medicinal / Other,Crushed,Caustic,Edible,Dried,N/A,Edible,Raw,N/A,
Woody,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Large (1-10m),Multiple Stems / Trunks,Radial,Rhizoid,Waxy,White & Brown,Phases,Smooth,Red,N/A,Rough,Violet,N/A,Compound,Stem / Trunk,Cordate (Heart Stem in Cleft),Lobate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Rough,White,N/A,Seeds,Fruit,Animal,Spray,Bell,Avg. (1-5cm),Oval,Dusty,Terminal,Other / Specific,Other,Rough,Blue,Solid,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Syrup,Aphrodesiac,Edible,Roasted,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Blanched,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Tubers,Rough,Yellow,N/A,Smooth,Blue,N/A,Waxy,Green,N/A,Compound,Branch Points,Elliptic (Oval Small or No Point),Denticulate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Yellow,N/A,Seeds,Spore,Water,Single,Complex,Avg. (1-5cm),Wavy,Hairy,Regular Interval,Sweet,Perennial (Yearly),Other,Brown,Mimicry,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Ointment,Soporific,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Juice,Dye,
Herbaceous,Aquatic,Salt Water,Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,None,Fibrous,Smooth,Brown,N/A,Waxy,Gold,N/A,Smooth,Copper,N/A,Compound,Branch Points,Obcordate (Heart Stem at Point),Smooth,Waxy,None,Clusters (6+),Smooth,Brown,N/A,Budding / Fragmentation,Grain,Gravity,Compound,Sphere,Small (5-10mm),Feathery & Thread,Waxy,Branch Points,None,Annual (Once),Waxy,Black & Gold,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Ground,Appetizer,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Ointment,Disinfectant,
Woody,Terrestrial,Mountains,Uncommon,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,Radial,Tap,Rough,Green,N/A,Flaky,Green,N/A,Scaly,Green,N/A,Compound,Random Interval & Stem / Trunk,Acicular (Needle),Serate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green,N/A,Seeds,Fruit,Animal,Pairs,Cone,Tiny (<5mm),Blade,Velvety,Random Interval,Sweet,Annual (Once),Flaky,White,Patches,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Powder,Antifungal,Non-Edible,N/A,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Antiscorbutic,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,Radial,Fibrous,Waxy,Green,N/A,Flaky,Red,N/A,Rough,Green,N/A,Broad,Random Interval,Rhomboid (Diamond),Crenate,Error: Roll Out of Range,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Copper,N/A,Suckers,Nut,Animal,Single,Funnel,Tiny (<5mm),Round,Velvety,Terminal,Sweet,Annual (Once),Rough,Green,Iridescent,1-3,1,Parasitic,Light,Non-Sentient,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Depressant,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Large (1-10m),Stem / Trunk,Radial,Tap,Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Compound,Stem / Trunk,Poly-Foliate (2-7 Leaflets),Serrulate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5) & Clusters (6+),Smooth & Smooth,Black,N/A,Seeds,Spore,Wind,Pairs,Bell,Avg. (1-5cm),Wavy,Velvety,Random Interval,None,Annual (Once),Smooth,Silver,Phases,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Blanched,N/A,N/A,N/A,N/A,Medicinal / Other,Tincture,Nervine,Medicinal / Other,Crushed,Aphrodesiac,Medicinal / Other,Infusion,Sialagogue,
Herbaceous,Terrestrial,Mountains & Hills / Scrub,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Bulb,Smooth,Grey,N/A,Scaly,Blue,N/A,Smooth,Orange,N/A,Broad,Branch Points,Reniform (Kidney),Crenate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Orange,N/A,Seeds,Fruit,Water,Single,Complex,Avg. (1-5cm),Thread,Hairy,Regular Interval,Musky,Other,Flaky,Silver,Spotted,1-3,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Antihydrotic,Medicinal / Other,Grated,Narcotic,N/A,N/A,N/A,Medicinal / Other,Infusion,Antiemetic,Non-Edible,N/A,N/A,
