1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Plains / Savannah & Marsh / Swamp / Bog,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Fibrous,Waxy,White,N/A,Waxy,Green,N/A,Smooth,Blue,N/A,Broad,Regular Interval,Falcate (Sickle),Sinuate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Waxy,Gold,N/A,Seeds,Fruit,Animal,Single,Cone,Avg. (1-5cm),Round,Smooth,Random Interval,Sweet,Annual (Once),Rough,Grey,Mimicry,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Rubefacient,Medicinal / Other,Bath,Diuretic,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Mountains & Mountains,Uncommon,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,None,Smooth,Green,N/A,Smooth,Yellow,N/A,Smooth,Blue,N/A,Compound,Regular Interval,Linear (Parallel Margins & Elongate),Undulate & Undulate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Copper,N/A,Seeds,Spore,Wind,Compound,Disc,Large (5-10cm),Curly,Hairy,Branch Points,None,Perennial (Yearly),Waxy,Copper,Mimicry,1-3,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Ground,N/A,Nutritious / Tasty,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Fungus,Sub-Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,None,Rhizoid,Flaky,Yellow,N/A,Smooth,Gold,N/A,Smooth,Red,N/A,Scales,Terminal,Pedate (Palmate Divided Latteral Lobes),Ciliate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Yellow,N/A,Seeds,Other,Animal,Other,Sphere,Large (5-10cm),Thread,Velvety,Regular Interval,Other / Specific,Annual (Once),Smooth,Violet,Solid,4-9,5+,Decay,Touch,Non-Sentient,N/A,Medicinal / Other,Wash,Nephretic,Medicinal / Other,Decoction,Antipyretic,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Depressant,Edible,Ground,N/A,
Herbaceous,Aquatic,Brackish,Rare,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Tap,Flaky,Blue,N/A,Other,Gold,N/A,Smooth,Green & Red,Luminescent,None,Stem / Trunk,Flabellate (Fan Shaped),Spiny,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Grey,N/A,Seeds,Fruit,Animal,Single,Complex,Large (5-10cm),Round,Waxy,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Red,Night Blooming,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Sialagogue,Medicinal / Other,Ground,Antifungal,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Vasodialator,Edible,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Rhizoid,Waxy,Brown,N/A,Flaky,Brown,N/A,Waxy,Silver,N/A,Broad,Terminal,Reniform (Kidney),Lobate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Blue,N/A,Other,Grain,Wind,Bunches,Funnel,Avg. (1-5cm),Round,Smooth,Terminal,Sweet,Annual (Once),Smooth,Violet,Blushed,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Nervine,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Insecticide,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Brackish,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Brown,N/A,Rough,Yellow,N/A,Other,Brown,N/A,Compound,Regular Interval,Truncate (Squared off Apex) & Acicular (Needle),Spiny & Spiny,Hairy,Reticulate (Smaller Veins Forming a Network),Pairs (2),Smooth,Green,N/A,Budding / Fragmentation,Fruit,Animal,Pairs,Complex,Small (5-10mm),Blade,Velvety & Waxy,Random Interval,Musky,Perennial (Yearly),Smooth,Grey & Brown,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Juice,Colorant,Edible,Dried,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Poultice,Aromatic,
Woody,Terrestrial,Mountains,Uncommon,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Random,Fibrous,Smooth,Brown,N/A,Flaky,Green,N/A,Flaky,Orange,N/A,Broad,Regular Interval,Obovate (Egg Narrow at Base),Serate,Scaly,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Blue,N/A,Seeds,Nut,Gravity,Bunches,Disc,Small (5-10mm),Round,Velvety,Branch Points,Other / Specific,Perennial (Yearly),Rough,Green,Stripes,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Ground,Stimulant,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Ground,N/A,
Fungus,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Tiny (<5cm),Colonial Mass,None,Rhizoid,Smooth,Brown,N/A,Flaky,Green & Orange,Solid,Smooth,Orange,N/A,Broad,Terminal,Cordate (Heart Stem in Cleft),Serrulate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Smooth,Black,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Tubers,Rough,Brown,N/A,Waxy,White,N/A,Waxy,Copper,N/A,Blades,Random Interval,Acicular (Needle),Lobate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Waxy,Green,N/A,Budding / Fragmentation,Grain,Gravity,Bunches,Disc,Small (5-10mm),Oval,Velvety,Regular Interval,Musky,Annual (Once),Waxy,Grey,Phases,10+,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Algae,Aquatic,Brackish,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,None,Flaky,Copper,N/A,Smooth,Red,N/A,Smooth,Silver,N/A,None,Terminal,Aristate (Spine-Like Tip),Sinuate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Green,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Fibrous,Other,Copper,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Blades,Regular Interval,Spear-Shaped (Pointed Barbbed-Base),Spiny,VelvetyDusty,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Green,N/A,Suckers,Grain,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Small Patch (1-12),Tiny (<5cm),Creeper Vine,Random,Fibrous,Smooth,Yellow,N/A,Smooth,Green,N/A,Waxy,Black,N/A,Broad,Regular Interval,Palmate (Hand-Like),Smooth,Smooth,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Silver,N/A,Budding / Fragmentation,Spore,Wind,Pairs,Funnel,Large (5-10cm),Thread,Dusty,Branch Points,Foul,Perennial (Yearly),Smooth,Silver,Mimicry,0,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Essence,Hydragogue,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Steeped,N/A,
Woody,Terrestrial,Forest / Jungle & Tundra,Common,Large Patch (120+),Small (5-25cm),Multiple Stems / Trunks,Ordered,Fibrous,Rough,Blue,N/A,Other,Gold,N/A,Flaky,Green,N/A,None,Regular Interval,Poly-Foliate (2-7 Leaflets),Sinuate,Re-Roll & Re-Roll,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Green,N/A,Seeds,Fruit,Animal,Pairs,Cone,Small (5-10mm),Curly,Waxy,Terminal,Sweet,Annual (Once),Scaly,Grey,Stripes,0,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Mountains,Very Common,Small Patch (1-12),Large (1-10m),Creeper Vine,Ordered,Fibrous,Smooth,Orange,N/A,Waxy,White,N/A,Smooth,Brown,N/A,Broad,Branch Points,Cordate (Heart Stem in Cleft),Lobate,Error: Roll Out of Range,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Other,Red,N/A,Budding / Fragmentation,Nut,Gravity,Spray,Bell,Small (5-10mm),Round & Wavy,Scaly,Random Interval,Sweet,Poly-Annual (2-7 Years),Waxy,Black,Mottled,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Bath,Vesicant,Medicinal / Other,Cold Compress,Bitter Tonic,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Ordered,Fibrous,Smooth,Grey,N/A,Smooth,Yellow,N/A,Waxy,Brown,N/A,Blades,Stem / Trunk,Falcate (Sickle),Serate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5) & Whorls (3-5),Smooth,Copper,N/A,Seeds,Fruit,Animal,Other,Sphere,Large (5-10cm),Blade,Smooth,Random Interval,Foul,Annual (Once),Smooth,Green,Solid,1-3,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Fomentation,Antiscorbutic,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Boiled,N/A,
Woody,Terrestrial,Mountains,Uncommon,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Ordered,Fibrous,Rough,Green,N/A,Smooth,Orange,N/A,Smooth,Gold,N/A,Broad,Random Interval,Truncate (Squared off Apex),Serate & Sinuate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Other,Grey,N/A,Seeds,Nut,Wind,Bunches,Cone,Avg. (1-5cm),Toothed,Hairy,Random Interval,Musky,Annual (Once),Rough,Green,Solid,10+,2-4,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Edible,Blanched,N/A,Medicinal / Other,Powder,Rubefacient,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Ground,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Bulb,Smooth,Red,N/A,Smooth,Copper,N/A,Waxy,Grey,N/A,Compound,Random Interval,Obcordate (Heart Stem at Point),Smooth,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Black,N/A,Seeds,Grain,Wind,Bunches,Spike,Huge (>10cm),Wavy,Hairy,Terminal,Sweet,Poly-Annual (2-7 Years),Waxy,Brown,Solid,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Antiperodic,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Rare,Solitary (1-2),Average (25cm-1m),Creeper Vine,None,Tap,Rough,Yellow,N/A,Smooth,Green,N/A,Waxy,Brown,N/A,Scales,Branch Points,Lanceolate (Pointed at Both Ends),Smooth,Hairy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Green,N/A,Seeds,Nut,Animal,Bunches,Funnel,Avg. (1-5cm),Oval,Scaly,Terminal,Sweet,Annual (Once),Scaly,Yellow,Patches,10+,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Fomentation,Antilithic,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Bath,Mucilaginous,Edible,Boiled,N/A,
Algae,Aquatic,Salt Water,Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,Random,Rhizoid,Smooth,Blue,N/A,Smooth,Orange,N/A,Smooth,Yellow,N/A,None,Terminal,Pinnatisect (Deep Opposite Lobing),Serate,Hairy,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Flaky,Green,N/A,Seeds,Other,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Advantageous,Other,Violet & Grey,Stripes,Smooth,Green,N/A,Smooth,Green,N/A,Blades,Terminal,Truncate (Squared off Apex),Denticulate,Error: Roll Out of Range,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Animal,Single,Cone,Small (5-10mm),Blade,Hairy & Smooth,Terminal,Sweet,Annual (Once),Smooth,Green,Blushed,4-9,5+,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Whole,Anaphrodisiac,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Marsh / Swamp / Bog,Uncommon,Solitary (1-2),Tiny (<5cm),Creeper Vine,None,Rhizoid,Scaly,Violet & White,Stripes,Smooth,Copper,N/A,Smooth,Red,N/A,Scales,Terminal,Obcordate (Heart Stem at Point),Smooth,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Rough,Yellow,N/A,Suckers,Spore,Animal,Pairs,Spike,Tiny (<5mm),Wavy,Velvety,Branch Points,Foul,Annual (Once),Smooth,Orange,Stripes,4-9,0,Decay,Heat,Non-Sentient,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,
