1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Aquatic,Salt Water,Very Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Rhizoid,Waxy,Blue,N/A,Rough,Green,N/A,Waxy,Grey,N/A,Broad,Random Interval,Lanceolate (Pointed at Both Ends),Denticulate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Other,Grey & Green,Solid,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Powder,Refridgerant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Appetizer,Nutritious / Tasty,Boiled,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Tap,Smooth,Green,N/A,Smooth,Black,N/A,Smooth,Violet,N/A,Broad,Branch Points,Obovate (Egg Narrow at Base),Sinuate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Flaky,Silver,N/A,Seeds,Nut,Gravity,Single,Cone,Avg. (1-5cm),Thread,Dusty & Hairy,Terminal,Sweet,Poly-Annual (2-7 Years),Other,Yellow,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Powder,Emmenagogue,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Sub-Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine & Multiple Stems / Trunks,Radial,Fibrous,Smooth,White,N/A,Other,Grey,N/A,Waxy,Violet,N/A,Compound,Random Interval,Hastatae (Triangular Basal Lobes),Undulate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Rough,Gold,N/A,Suckers,Fruit,Animal,Pairs,Funnel,Small (5-10mm),Thread,Velvety,Branch Points,None,Annual (Once),Flaky,Green,Solid,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Edible,Raw,N/A,Medicinal / Other,Cold Compress,Re-Roll,N/A,N/A,N/A,Medicinal / Other,Ointment,Vesicant,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Uncommon,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,None,Tap,Smooth,Orange,N/A,Smooth,Gold,N/A,Other,Silver & White,Phases,Broad,Random Interval,Cordate (Heart Stem in Cleft),Undulate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Smooth,Green,N/A,Seeds,Fruit,Animal,Single,Disc,Huge (>10cm),Toothed & Toothed,Velvety,Branch Points,Foul,Annual (Once),Smooth,Black,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Essence,Antilithic,Non-Edible,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Infusion,Irritant,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Smooth,Silver & Yellow,Solid,Smooth,Yellow,N/A,Smooth,Green,N/A,Broad,Terminal,Spatulate (Spoon),Crenate,Hairy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Waxy,Red,N/A,Suckers,Spore,Animal,Pairs,Spike,Avg. (1-5cm),Wavy,Veined,Stem / Trunk,Sweet,Annual (Once),Other,Gold,Luminescent,4-9,0,Predaceous,Light,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Re-Roll,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Steeped,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Fibrous,Scaly,Orange,N/A,Smooth,Green,N/A,Rough,White,N/A,Compound,Branch Points,Elliptic (Oval Small or No Point),Serrulate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Silver,N/A,Seeds,Grain,Gravity,Bunches,Disc,Small (5-10mm),Blade & Round,Velvety,Terminal,Musky,Poly-Annual (2-7 Years),Rough,Gold,Stripes,4-9,2-4,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Ground,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Fomentation,Wax,
Herbaceous,Terrestrial,Mountains,Very Rare,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Tubers,Scaly,Copper,N/A,Smooth,Yellow,N/A,Smooth,Grey,N/A,Compound,Random Interval,Digitate (Finger-Like Lobes),Smooth,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2),Smooth,Orange,N/A,Suckers,Spore,Water,Single,Cone,Small (5-10mm),Toothed,Velvety,Random Interval,Sweet,Perennial (Yearly),Rough,Brown,Blushed,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Crushed,Carminative,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Aphrodesiac,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Rare,Solitary (1-2),Small (5-25cm),Creeper Vine,Random,Tubers,Smooth,Green,N/A,Smooth,Grey,N/A,Waxy,Violet,N/A,Broad,Random Interval,Hastatae (Triangular Basal Lobes),Dentate,Smooth,None,Whorls (3-5),Waxy,Green,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Fomentation,Euphoriant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Plains / Savannah,Rare,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Flaky,Silver,N/A,Waxy,Copper,N/A,Scaly,Green,N/A,Broad,Terminal,Pinnatisect (Deep Opposite Lobing),Lobate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Flaky,Silver,N/A,Suckers,Nut,Animal,Bunches,Complex,Small (5-10mm),Toothed,Hairy,Regular Interval,Musky,Perennial (Yearly),Flaky,Green,Luminescent,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Bath,Detergent,Medicinal / Other,Poultice,Refridgerant,N/A,N/A,N/A,Medicinal / Other,Fomentation,Emollient,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle & Plains / Savannah,Very Rare,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,None,Bulb,Smooth,Brown,N/A,Smooth,White,N/A,Smooth,Gold,N/A,Compound,Branch Points,Digitate (Finger-Like Lobes),Lobate,Smooth,None,Whorls (3-5) & Whorls (3-5),Other,Blue,N/A,Suckers,Fruit,Animal,Bunches,Cone,Small (5-10mm),Wavy & Toothed,Waxy,Random Interval,Musky,Annual (Once),Smooth,White,Mimicry,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Cold Compress,Anaphrodisiac,Medicinal / Other,Ointment,Antiscrufulous,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Solitary (1-2),Average (25cm-1m),Creeper Vine,None,Fibrous,Rough,Yellow,N/A,Smooth,Red,N/A,Waxy,Violet,N/A,Compound,Random Interval,Palmate (Hand-Like),Smooth,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Violet,N/A,Seeds,Fruit,Water,Single,Complex,Small (5-10mm),Curly,Waxy,Terminal,Sweet,Annual (Once),Smooth,Green,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Wash,Restorative,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Irritant,Nutritious / Tasty,Roasted,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Waxy,Brown,N/A,Scaly,Gold,N/A,Smooth,Yellow,N/A,Broad,Branch Points,Linear (Parallel Margins & Elongate),Undulate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Green,N/A,Suckers,Grain,Wind,Bunches,Bell,Avg. (1-5cm),Toothed,Velvety,Terminal,Sweet,Perennial (Yearly),Smooth,Brown,Solid & Solid,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Fomentation,Nauseant,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Syrup,Laxative,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Rare,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Ordered,Fibrous,Waxy,Orange,N/A,Rough,Copper,N/A,Waxy,Orange,N/A,Broad,Terminal,Pinnatisect (Deep Opposite Lobing),Serrulate,Hairy,Dichotomous (Veins Branching in Symmetric Pairs) & Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Waxy,Black,N/A,Seeds,Nut,Gravity,Compound,Bell,Avg. (1-5cm),Wavy,Hairy,Random Interval,Foul,Other,Rough,Gold,Blushed,0,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Re-Roll,Vermifuge,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Mountains,Common,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,Random,Tubers,Smooth,Silver,N/A,Flaky,Green & Green,Mottled,Smooth,Grey,N/A,Compound,Terminal,Pedate (Palmate Divided Latteral Lobes),Sinuate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Green & Yellow,Phases,Suckers,Grain,Wind,Spray,Bell,Tiny (<5mm),Curly,Scaly,Random Interval,Musky,Annual (Once),Flaky,Black,Blushed,0,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Syrup,Anaphrodisiac,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,Medicinal / Other,Crushed,Narcotic,Edible,Blanched,N/A,Medicinal / Other,Bath,Digestive,
Algae,Aquatic,Salt Water,Very Common,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,None,None,Smooth,Copper,N/A,Other,Green,N/A,Other,Blue,N/A,None,Terminal,Orbicular (Circular),Lobate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+) & Clusters (6+),Waxy,Gold,N/A,Budding / Fragmentation,Spore,Wind,Other,Complex,Huge (>10cm),Thread,Smooth & Waxy,Regular Interval,Sweet,Annual (Once),Smooth,Blue,Mottled,1-3,1,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Dried,N/A,
Herbaceous,Aquatic,Fresh Water,Very Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,Radial,Tap,Smooth,Silver,N/A,Smooth,Violet,N/A,Smooth,Green,N/A,Broad,Random Interval,Lanceolate (Pointed at Both Ends),Spiny,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,Green,N/A,Seeds,Fruit,Animal,Other,Spike,Avg. (1-5cm),Oval & Round,Dusty,Regular Interval,Sweet,Perennial (Yearly),Flaky,Yellow & Brown,Blushed,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Medicinal / Other,Decoction,Carminative,Edible,Raw,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Ground,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Rare,Solitary (1-2),Small (5-25cm),Creeper Vine,Radial,Fibrous,Smooth,Red,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,Blades,Branch Points,Lanceolate (Pointed at Both Ends),Smooth,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Rough,Black,N/A,Seeds,Grain,Animal,Bunches,Disc,Avg. (1-5cm),Blade,Scaly,Branch Points,Sweet,Perennial (Yearly),Waxy,Brown,Mottled,10+,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Fomentation,Vermicide,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Nutritious / Tasty,Ground,N/A,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,None,Fibrous,Smooth,Green,N/A,Waxy,Red,N/A,Waxy,Green,N/A,Broad,Regular Interval,Pinnatisect (Deep Opposite Lobing),Smooth,Smooth & Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,Yellow,N/A,Seeds,Fruit,Animal,Bunches,Cone,Small (5-10mm),Toothed,Dusty,Random Interval,Sweet,Perennial (Yearly),Smooth,Green,Night Blooming,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Medicinal / Other,Grated,Sialagogue,Edible,Raw,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Bath,Aromatic,
Algae,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Average (25cm-1m),Colonial Mass,Radial,None,Flaky,Green,N/A,Smooth,Grey,N/A,Smooth,Green,N/A,None,Terminal,Palmate (Hand-Like),Serate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Rough,Green & Green,Translucent,Budding / Fragmentation,Spore,Wind,Spray,Bell,Small (5-10mm),Blade,Smooth,Terminal,Foul,Perennial (Yearly),Smooth,Green,Spotted,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Very Common,Solitary (1-2),Small (5-25cm),Multiple Stems / Trunks,Random,Bulb,Smooth,Silver,N/A,Smooth,Yellow,N/A,Smooth,Green & Grey,Stripes,Blades,Branch Points,Falcate (Sickle),Ciliate,Sticky,None,Singles (1),Smooth,Black,N/A,Budding / Fragmentation,Grain,Gravity,Spray,Spike,Large (5-10cm),Thread,Velvety,Random Interval,Musky,Poly-Annual (2-7 Years),Waxy,Silver & Orange,Patches,10+,1,Photo / Chemo-Synthetic,Motile,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
